cd_sistema,cd_central,cd_cooperativa,ano,mes,nota_sobras_ou_perdas_sobre_recursos_totais,nota_inadimplencia,nota_liquidez_na_central,nota_adto_depositante,nota_custo_fixo_sobre_total_recursos,nota_tarifas_sobre_custo_fixo,nota_honorarios_e_cedula_sobre_custo_fixo,nota_folha_encargos_sobre_total_recursos,nota_receita_financeira_sobre_total_recursos,nota_retorno_carteira_de_credito,nota_despesas_financeiras_sobre_recursos_captados,nota_despesas_captacao_sobre_dep_prazo,nota_resultado_PCLD_sobre_despesas_totais_mes,nota_resultado_PCLD_sobre_total_recursos,nota_liquidez_geral,nota_participacao_capital_proprio,nota_rentabilidade_sobras_sobre_receitas_brutas,nota_rentabilidade_sobre_capital_proprio,nota_evolucao_quadro_social,nota_limite_exposicao_por_cliente,nota_concentacao_carteira_credito,nota_enquadramento_PRE,nota_concentracao_depositos,nota_imobilizacao_capital_proprio,nota_evolucao_patrimonial,alerta_sobras_ou_perdas_sobre_recursos_totais,alerta_inadimplencia,alerta_liquidez_na_central,alerta_adto_depositante,alerta_custo_fixo_sobre_total_recursos,alerta_tarifas_sobre_custo_fixo,alerta_honorarios_e_cedula_sobre_custo_fixo,alerta_folha_encargos_sobre_total_recursos,alerta_receita_financeira_sobre_total_recursos,alerta_retorno_carteira_de_credito,alerta_despesas_financeiras_sobre_recursos_captados,alerta_despesas_captacao_sobre_dep_prazo,alerta_resultado_PCLD_sobre_despesas_totais_mes,alerta_resultado_PCLD_sobre_total_recursos,alerta_liquidez_geral,alerta_participacao_capital_proprio,alerta_rentabilidade_sobras_sobre_receitas_brutas,alerta_rentabilidade_sobre_capital_proprio,alerta_evolucao_quadro_social,alerta_limite_exposicao_por_cliente,alerta_concentacao_carteira_credito,alerta_enquadramento_PRE,alerta_concentracao_depositos,alerta_imobilizacao_capital_proprio,alerta_evolucao_patrimonial,total,nu_justificativa,nu_plano,tx_justificativa,tx_plano,st_justificativa,st_plano
1,7,1,2009,9,2,1,1,3,1,2,4,1,4,4,4,4,3,4,4,2,3,3,4,4,4,4,2,3,4,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,75,0,0,,,0,0
1,7,1,2009,10,3,1,2,2,1,2,4,1,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,3,4,0,1,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,80,0,0,,,0,0
1,7,1,2009,11,3,2,3,2,1,2,3,1,4,4,4,4,4,4,4,2,4,4,4,4,4,4,2,3,4,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,80,0,0,,,0,0
1,7,1,2009,12,4,2,3,2,1,2,4,1,4,4,4,4,4,4,4,2,4,4,4,4,4,4,3,3,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,80,0,0,,,0,0
1,7,1,2010,1,3,2,3,2,1,2,4,2,4,4,4,4,4,4,4,2,4,4,2,4,4,4,3,3,4,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,81,0,0,,,0,0
1,7,1,2010,2,2,3,3,2,1,2,4,1,4,4,4,4,1,3,4,2,3,3,4,4,4,4,3,3,1,1,0,0,1,1,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,73,1,0,,,0,0
1,7,1,2010,3,2,3,2,3,1,2,4,1,4,4,4,4,3,4,4,2,3,3,4,3,4,4,3,3,4,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,78,0,0,,,0,0
1,7,1,2010,4,4,3,2,2,1,2,4,2,4,4,4,4,4,4,4,2,4,4,4,3,4,4,3,3,4,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,83,0,0,,,0,0
1,7,1,2010,5,2,3,2,2,1,2,4,1,4,4,4,4,2,3,4,2,2,2,4,4,4,4,2,3,1,1,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,0,0,0,1,0,1,70,1,0,,,0,0
1,7,1,2010,6,2,3,2,2,1,2,4,1,4,4,4,4,4,4,4,2,3,3,4,4,4,4,2,3,4,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,78,0,0,,,0,0
